OBJECTID,LANDMARKID,LANDMARK,CATEGORY,SUBCATEGORY,CIVIC_NO,STREET,X_COORD,Y_COORD,CREATE_DATE,UPDATE_DATE,SOURCE,SOURCE_DATE
17,9,KITCHENER GOSPEL TEMPLE,CHURCH,PENTECOSTAL ASSEMBLIES OF CANADA,9,CONWAY DR,545204.1374,4810595.7211,2016-05-10,2006-06-28,WWW.YELLOWPAGES.CA 2006,2006-01-16
18,61,FAITH LUTHERAN CHURCH,CHURCH,LUTHERAN,247,WESTMOUNT RD E,539939.5127,4808330.5492,2016-05-10,2006-06-28,WWW.YELLOWPAGES.CA 2006,2006-01-16
19,28,PIONEER PARK CHURCH OF GOD,CHURCH,CHURCH OF GOD,11,OLD CARRIAGE DR,545842.9043,4804697.7112,2016-05-10,2006-06-28,WWW.YELLOWPAGES.CA 2006,2006-01-12
20,907,STANLEY PARK UNITED BRETHREN CHURCH,CHURCH,UNITED BRETHREN,9,DREGER AVE,544213.9708,4810702.9784,2016-05-10,2006-06-28,WWW.YELLOWPAGES.CA 2006,2006-01-16
21,20,CHURCH OF JESUS CHIRST OF LATTER DAY SAINTS,CHURCH,CHURCH OF JESUS CHRIST OF LATTER DAY SAINTS,10,LORRAINE AVE,544479.4703,4811825.4332,2016-05-10,2006-06-28,WWW.YELLOWPAGES.CA 2006,2006-01-12
22,46,FIRST CHURCH OF CHRIST SCIENTIST,CHURCH,CHRISTIAN SCIENCE,64,WATER ST N,540956.9548,4811291.6414,2016-05-10,2006-06-28,WWW.YELLOWPAGES.CA 2006,2006-01-12
23,34,FREEDOM IN CHRIST PENTECOSTAL ASSEMBLY,CHURCH,PENTECOSTAL ASSEMBLIES OF CANADA,1643,BLEAMS RD,539973.3144,4805341.8969,2016-05-10,2006-06-28,WWW.YELLOWPAGES.CA 2006,2006-01-16
24,39,GLENCAIRN MENNONITE BRETHREN CHURCH,CHURCH,MENNONITE,725,ERINBROOK DR,541229.1026,4806741.8944,2016-05-10,2006-06-28,WWW.YELLOWPAGES.CA 2006,2006-01-16
25,45,ST JOHN THE EVANGELIST ANGLICAN CHURCH,CHURCH,ANGLICAN,23,WATER ST N,540969.8444,4811169.9552,2016-05-10,2006-06-28,WWW.YELLOWPAGES.CA 2006,2006-01-12
26,85,HOLY CROSS LUTHERAN CHURCH,CHURCH,LUTHERAN,322,EAST AVE,542886.3712,4810839.05,2016-05-10,2006-06-28,WWW.YELLOWPAGES.CA 2006,2006-01-16
27,35,DOON PRESBYTERIAN CHURCH,CHURCH,PRESBYTERIAN,35,ROOS ST,547188.1776,4804892.4512,2016-05-10,2006-06-28,WWW.YELLOWPAGES.CA 2006,2006-01-16
28,2,ST PETER & PAUL GREEK ORTHODOX CHURCH,CHURCH,GREEK ORTHODOX,527,BRIDGEPORT RD,541546.5056,4813743.3167,2016-05-10,2006-06-28,WWW.YELLOWPAGES.CA 2006,2006-01-12
29,77,INTERNATIONAL GOSPEL CENTER,CHURCH,PENTECOSTAL,35,CHARLES ST E,541504.0586,4810641.2221,2016-05-10,2006-06-28,WWW.YELLOWPAGES.CA 2006,2006-01-16
30,42,ZION UNITED CHURCH,CHURCH,UNITED,32,WEBER ST W,541363.276,4811244.276,2016-05-10,2006-06-28,WWW.YELLOWPAGES.CA 2006,2006-01-16
31,17,FAITH EVANGELICAL MISSIONARY CHURCH,CHURCH,EVANGELICAL MISSIONARY,3849,KING ST E,547877.5032,4807317.0821,2016-05-10,2006-06-28,WWW.YELLOWPAGES.CA 2006,2006-01-12
32,76,ST MATTHEWS LUTHERAN CHURCH,CHURCH,LUTHERAN,54,BENTON ST,541315.8235,4810712.6645,2016-05-10,2006-06-28,WWW.YELLOWPAGES.CA 2006,2006-01-16
33,54,UKRANIAN CATHOLIC CHURCH OF THE TRANSFIGURATION,CHURCH,UKRANIAN CATHOLIC,131,VICTORIA ST S,540360.848,4810820.9532,2016-05-10,2006-06-28,WWW.YELLOWPAGES.CA 2006,2006-01-16
34,41,CHURCH OF THE GOOD SHEPHERD,CHURCH,SWEDENBORGIAN,116,QUEEN ST N,541628.4649,4811469.7805,2016-05-10,2006-06-28,WWW.YELLOWPAGES.CA 2006,2006-01-16
35,43,ST ANDREW'S PRESBYTERIAN CHURCH,CHURCH,PRESBYTERIAN,54,QUEEN ST N,541452.016,4811172.7281,2016-05-10,2006-06-28,WWW.YELLOWPAGES.CA 2006,2006-01-16
36,37,HOLY TRINITY ANGLICAN CHURCH,CHURCH,ANGLICAN,237,WILSON AVE,544354.912,4808267.9222,2016-05-10,2006-06-28,WWW.YELLOWPAGES.CA 2006,2006-01-12
37,92,ST FRANCIS RECTORY,CHURCH,ROMAN CATHOLIC,49,BLUERIDGE AVE,539888.1356,4808979.5027,2016-05-10,2006-06-28,WWW.YELLOWPAGES.CA 2006,2006-01-16
38,13,ST ANTHONY DANIEL CHURCH,CHURCH,ROMAN CATHOLIC,29,MIDLAND DR,544603.0916,4810813.7859,2016-05-10,2007-08-24,WWW.YELLOWPAGES.CA 2006,2006-01-16
39,65,HIGHLAND BAPTIST CHURCH,CHURCH,BAPTIST,135,HIGHLAND RD W,540203.2274,4809858.935,2016-05-10,2006-06-28,WWW.YELLOWPAGES.CA 2006,2006-01-12
40,31,CARMEL CHURCH,CHURCH,SWEDENBORGIAN,40,CHAPEL HILL DR,544383.4422,4803717.0154,2016-05-10,2006-06-28,WWW.YELLOWPAGES.CA 2006,2006-01-16
41,82,FIRST MENNONITE CHURCH,CHURCH,MENNONITE,800,KING ST E,542396.1647,4810286.1287,2016-05-10,2006-06-28,WWW.YELLOWPAGES.CA 2006,2006-01-16
42,11,CHRIST THE KING UNITED CHURCH OF CANADA,CHURCH,UNITED,167,THALER AVE,545997.3689,4809125.3843,2016-05-10,2006-06-28,WWW.YELLOWPAGES.CA 2006,2004-01-16
43,2634,SHRI RAM DHAM HINDU TEMPLE,TEMPLE,HINDU,525,BRIDGE ST E,543869.4689,4814227.0011,2003-10-02,2010-04-15,WWW.YELLOWPAGES.CA 2006,2006-01-12
44,18,EASTWOOD CHRISTIAN FELLOWSHIP,CHURCH,BAPTIST,56,ROSS AVE,544088.006,4809544.8257,2016-05-10,2006-06-28,WWW.YELLOWPAGES.CA 2006,2006-01-12
45,90,FIRST HMONG MENNONITE CHURCH,CHURCH,MENNONITE,93,DOON RD,543497.8764,4809298.9349,2016-05-10,2006-06-28,WWW.YELLOWPAGES.CA 2006,2006-01-16
46,3242,CHRISTIAN SCIENCE READING ROOM,CHURCH,CHRISTIAN SCIENCE,58,WATER ST N,540944.2999,4811277.24,2005-08-02,2006-06-28,WWW.YELLOWPAGES.CA 2006,2006-01-12
47,3249,NEW SONG CHURCH & WORLD OUTREACH,CHURCH,PENTECOSTAL,485,CHARLES ST E,542398.2065,4810051.0701,2005-08-02,2006-06-28,WWW.YELLOWPAGES.CA 2006,2006-01-16
48,3256,DOVE CHRISTIAN FELLOWSHIP KITCHENER,CHURCH,NON-DENOMINATIONAL,191,MORGAN AVE,546283.9987,4808496.1854,2005-08-02,2006-06-28,WWW.YELLOWPAGES.CA 2006,2006-01-16
49,64,EVANGEL COMMUNITY CHURCH,CHURCH,EVANGELICAL MISSIONARY,112,SPADINA RD W,540150.2281,4809617.787,2016-05-10,2006-06-28,WWW.YELLOWPAGES.CA 2006,2006-01-12
50,2720,THE EVANGELICAL MISSIONARY CHURCH - CANADA EAST DISTRICT,CHURCH,EVANGELICAL MISSIONARY,130,FERGUS AVE,545280.0393,4809285.3442,2004-01-09,2006-06-28,WWW.YELLOWPAGES.CA 2006,2006-01-12
51,58,ST GEORGE'S FOREST HILL ANGLICAN CHURCH,CHURCH,ANGLICAN,321,FISCHER HALLMAN RD,538853.8742,4807989.6042,2016-05-10,2006-06-28,WWW.YELLOWPAGES.CA 2006,2006-01-12
52,3418,SPANISH BAPTIST CHURCH,CHURCH,BAPTIST,90,BENTON ST,541260.5025,4810600.8051,2006-01-12,2006-06-28,WWW.YELLOWPAGES.CA 2006,2006-01-12
53,3424,STANLEY PARK BAPTIST CHURCH,CHURCH,BAPTIST,31,LORRAINE AVE,544624.7673,4811756.3991,2006-01-12,2006-06-28,WWW.YELLOWPAGES.CA 2006,2006-01-12
54,70,IMMANUEL PENTACOSTAL CHURCH,CHURCH,PENTECOSTAL ASSEMBLIES OF CANADA,100,HOFFMAN ST,541753.0272,4808907.9521,2016-05-10,2006-06-28,WWW.YELLOWPAGES.CA 2006,2006-01-16
55,253,BRIDGEPORT UNITED CHURCH,CHURCH,UNITED,40,BRIDGE ST W,541648.1326,4814610.7021,2016-05-10,2006-06-28,WWW.YELLOWPAGES.CA 2006,2006-01-16
56,16,KITCHENER EAST PRESBYTERIAN CHURCH,CHURCH,PRESBYTERIAN,10,ZELLER DR,546639.3627,4810998.7799,2016-05-10,2006-06-28,WWW.YELLOWPAGES.CA 2006,2006-01-16
57,69,ST MARY'S COPTIC ORTHODOX CHURCH,CHURCH,COPTIC ORTHODOX,388,OTTAWA ST S,542115.5658,4809032.968,2016-05-10,2006-06-28,WWW.YELLOWPAGES.CA 2006,2006-01-12
58,25,ST ALOYSIUS CHURCH,CHURCH,ROMAN CATHOLIC,11,TRAYNOR AVE,544999.9079,4808468.1487,2016-05-10,2006-06-28,WWW.YELLOWPAGES.CA 2006,2006-01-16
59,12,ST LUKE'S LUTHERAN CHURCH,CHURCH,LUTHERAN,317,FRANKLIN ST N,544778.5799,4810112.262,2016-05-10,2006-06-28,WWW.YELLOWPAGES.CA 2006,2006-01-16
60,15,CROATIAN R C PARISH HOLY FAMILY,CHURCH,ROMAN CATHOLIC,180,SCHWEITZER ST,543711.3053,4814631.9087,2016-05-10,2006-06-28,WWW.YELLOWPAGES.CA 2006,2006-01-16
61,279,GLEN ACRES BAPTIST CHURCH,CHURCH,BAPTIST,230,HARTWOOD AVE,540342.6344,4812523.2889,2016-05-10,2006-06-28,WWW.YELLOWPAGES.CA 2006,2006-01-12
62,637,COMMUNITY CHRISTIAN REFORMED CHURCH,CHURCH,CHRISTIAN REFORMED,1275,BLEAMS RD,540963.707,4805461.1083,2016-05-10,2006-06-28,WWW.YELLOWPAGES.CA 2006,2006-01-12
63,86,ST ANNE'S ROMAN CATHOLIC CHURCH,CHURCH,ROMAN CATHOLIC,268,EAST AVE,542825.5925,4810958.5093,2016-05-10,2006-06-28,WWW.YELLOWPAGES.CA 2006,2006-01-16
64,53,ST MARK'S LUTHERAN CHURCH,CHURCH,LUTHERAN,825,KING ST W,539667.001,4811574.8086,2016-05-10,2006-06-28,WWW.YELLOWPAGES.CA 2006,2006-01-16
65,101,ST PETER'S LUTHERAN CHURCH,CHURCH,LUTHERAN,49,QUEEN ST N,541459.0988,4811039.9412,2016-05-10,2006-06-28,WWW.YELLOWPAGES.CA 2006,2006-01-16
66,38,THE BLESSED SACRAMENT ROMAN CATHOLIC CHURCH,CHURCH,ROMAN CATHOLIC,305,LAURENTIAN DR,541097.5698,4806706.9523,2016-05-10,2010-04-23,WWW.YELLOWPAGES.CA 2006,2006-01-16
67,67,CALVIN PRESBYTERIAN CHURCH,CHURCH,PRESBYTERIAN,248,WESTMOUNT RD E,540027.5348,4808395.3607,2016-05-10,2006-06-28,WWW.YELLOWPAGES.CA 2006,2006-01-16
68,78,ST JOESEPH'S CHURCH,CHURCH,ROMAN CATHOLIC,148,MADISON AVE S,541580.2502,4810094.0971,2016-05-10,2006-06-28,WWW.YELLOWPAGES.CA 2006,2006-01-16
69,72,ST STEPHEN LUTHERAN CHURCH,CHURCH,LUTHERAN,248,HIGHLAND RD E,541186.3172,4809457.2604,2016-05-10,2006-06-28,WWW.YELLOWPAGES.CA 2006,2006-01-16
70,71,ST ANDREW'S MEMORIAL ANGLICAN CHURCH,CHURCH,ANGLICAN,275,MILL ST,541562.3182,4809340.9856,2016-05-10,2006-06-28,WWW.YELLOWPAGES.CA 2006,2006-01-12
71,60,ST MARK'S CATHOLIC PARISH,CHURCH,ROMAN CATHOLIC,55,DRIFTWOOD DR,537654.7233,4807229.6791,2016-05-10,2006-06-28,WWW.YELLOWPAGES.CA 2006,2006-01-16
72,63,FOREST HILL UNITED CHURCH,CHURCH,UNITED,121,WESTMOUNT RD E,539718.7617,4808678.8503,2016-05-10,2006-06-28,WWW.YELLOWPAGES.CA 2006,2006-01-16
73,5,APOSTOLIC CHRISTIAN CHURCH (NAZARENE),CHURCH,CHURCH OF THE NAZARENE,28,AVON RD,543877.9504,4812533.9011,2016-05-10,2006-06-28,WWW.YELLOWPAGES.CA 2006,2006-01-12
74,93,HISTORIC ST PAUL'S LUTHERAN CHURCH,CHURCH,LUTHERAN,137,QUEEN ST S,541247.0051,4810704.3683,2016-05-10,2006-06-28,WWW.YELLOWPAGES.CA 2006,2006-01-16
75,91,K-W KOREAN PRESBYTERIAN CHURCH,CHURCH,PRESBYTERIAN,130,DUKE ST E,541761.7796,4810853.3748,2016-05-10,2006-06-28,WWW.YELLOWPAGES.CA 2006,2006-01-16
76,50,ST TERESA'S CATHOLIC CHURCH,CHURCH,ROMAN CATHOLIC,44,LEONARD ST,541444.321,4812800.2632,2016-05-10,2006-06-28,WWW.YELLOWPAGES.CA 2006,2006-01-16
77,52,CALVARY UNITED CHURCH,CHURCH,UNITED,91,GRUHN ST,539682.1748,4811350.7236,2016-05-10,2006-06-28,WWW.YELLOWPAGES.CA 2006,2006-01-16
78,96,STIRLING AVENUE MENNONITE CHURCH,CHURCH,MENNONITE,57,STIRLING AVE N,542455.5836,4810464.0098,2016-05-10,2006-06-28,WWW.YELLOWPAGES.CA 2006,2006-01-16
79,103,ROMANIAN CHURCH OF GOD OF KITCHENER,CHURCH,PENTECOSTAL,160,GRAND RIVER BLVD,547467.4541,4808613.3564,2016-05-10,2006-06-28,WWW.YELLOWPAGES.CA 2006,2006-01-16
80,98,FIRST UNITARIAN CONGREGATION,CHURCH,UNITARIAN,299,SYDNEY ST S,542454.1844,4809205.6855,2016-05-10,2010-04-07,WWW.YELLOWPAGES.CA 2010,2010-04-01
81,22,8TH AVENUE CHURCH OF GOD (OF ANDERSON INDIANA),CHURCH,CHURCH OF GOD,164,EIGHTH AVE,544461.4557,4808590.4564,2016-05-10,2006-10-11,WWW.YELLOWPAGES.CA 2006,2006-01-12
82,3479,KITCHENER-WATERLOO VIETNAMESE ALLIANCE CHURCH,CHURCH,CHRISTIAN AND MISSIONARY ALLIANCE,45,HAZELGLEN DR,538411.3553,4809672.0609,2006-01-12,2006-06-28,WWW.YELLOWPAGES.CA 2006,2006-01-12
83,220,JEHOVAH'S WITNESSES,CHURCH,JEHOVAH'S WITNESSES,71,ROTHSAY AVE,544705.4822,4812952.6744,2016-05-10,2006-06-28,WWW.YELLOWPAGES.CA 2006,2006-01-16
84,3498,JEHOVAH'S WITNESSES,CHURCH,JEHOVAH'S WITNESSES,355,GAGE AVE,538796.9112,4810424.486,2006-01-16,2006-06-28,WWW.YELLOWPAGES.CA 2006,2006-01-16
85,2719,EASTERN SYNOD OF THE EVANGELICAL LUTHERAN CHURCH IN CANADA,CHURCH,LUTHERAN,74,WEBER ST W,541171.792,4811328.0495,2004-01-09,2006-06-28,WWW.YELLOWPAGES.CA 2006,2006-01-16
86,75,MARTIN LUTHER CHURCH,CHURCH,LUTHERAN,53,CHURCH ST,541395.2842,4810576.8337,2016-05-10,2006-06-28,WWW.YELLOWPAGES.CA 2006,2006-01-16
87,83,PILGRIM LUTHERAN CHURCH,CHURCH,LUTHERAN,206,DUKE ST E,541954.7243,4810722.8672,2016-05-10,2006-06-28,WWW.YELLOWPAGES.CA 2006,2006-01-16
88,4,REFORMATION LUTHERAN CHURCH,CHURCH,LUTHERAN,456,KRUG ST,543357.9606,4811608.2457,2016-05-10,2006-06-28,WWW.YELLOWPAGES.CA 2006,2006-01-16
89,74,GOSPEL HALL,CHURCH,NON-DENOMINATIONAL,184,MADISON AVE S,541529.0154,4810006.2658,2016-05-10,2006-06-28,WWW.YELLOWPAGES.CA 2006,2006-01-16
90,3557,KITCHENER COMMUNITY VINEYARD,CHURCH,NON-DENOMINATIONAL,100,RITTENHOUSE RD,541848.976,4806632.4,2006-01-16,2006-06-28,WWW.YELLOWPAGES.CA 2006,2006-01-16
91,3556,LA PAZ DE CRISTO,CHURCH,PENTECOSTAL ASSEMBLIES OF CANADA,295,HIGHVIEW DR,536185.1419,4806907.6761,2006-01-16,2006-06-28,WWW.YELLOWPAGES.CA 2006,2006-01-16
92,632,RELIGIOUS SOCIETY OF FRIENDS,CHURCH,RELIGIOUS SOCIETY OF FRIENDS,298,FREDERICK ST,542257.9853,4811602.3587,2016-05-10,2006-06-28,WWW.YELLOWPAGES.CA 2006,2006-01-16
93,55,ST JOHN'S ROMAN CATHOLIC CHURCH,CHURCH,ROMAN CATHOLIC,85,STRANGE ST,539750.3204,4810736.8771,2016-05-10,2006-06-28,WWW.YELLOWPAGES.CA 2006,2006-01-16
94,3553,ST JOHN ROMANIAN ORTHODOX CHURCH,CHURCH,ROMANIAN ORTHODOX,2150,BLEAMS RD,538277.8854,4805332.0942,2006-01-16,2006-06-28,WWW.YELLOWPAGES.CA 2006,2006-01-16
95,3552,SALVATION ARMY,CHURCH,SALVATION ARMY,75,TILLSLEY DR,540632.8679,4806327.6983,2006-01-16,2006-06-28,WWW.YELLOWPAGES.CA 2006,2006-01-16
96,73,HIGHLAND ROAD UNITED CHURCH,CHURCH,UNITED,214,HIGHLAND RD E,541148.6584,4809547.0479,2016-05-10,2006-06-28,WWW.YELLOWPAGES.CA 2006,2006-01-16
97,19,ST JAMES-ROSEMOUNT UNITED CHURCH,CHURCH,UNITED,171,SHERWOOD AVE,543715.1163,4811652.9231,2016-05-10,2006-06-28,WWW.YELLOWPAGES.CA 2006,2006-01-16
98,26,UNITY CENTRE OF PRACTICAL CHRISTIANITY,CHURCH,UNITY,2631,KINGSWAY DR,544892.6864,4808929.6657,2016-05-10,2006-01-16,WWW.YELLOWPAGES.CA 2006,2006-01-16
99,3567,CHURCH OF JESUS CHRIST OF LATTER DAY SAINTS,CHURCH,CHURCH OF JESUS CHRIST OF LATTER DAY SAINTS,50,HOLBORN DR,545222.8056,4810926.6004,2006-01-16,2006-01-18,WWW.YELLOWPAGES.CA 2006,2006-01-16
100,273,SPANISH CHURCH OF GOD,CHURCH,CHURCH OF GOD,316,WELLINGTON ST N,544095.5211,4809543.0771,2016-05-10,2006-01-16,WWW.YELLOWPAGES.CA 2006,2006-01-16
101,3569,WORLDWIDE CHURCH OF GOD KW,CHURCH,CHRISTIAN,1000,BLEAMS RD,541519.0749,4805852.7861,2006-01-16,2006-01-16,WWW.YELLOWPAGES.CA 2006,2006-01-16
102,1,ST PAUL'S LUTHERAN CHURCH,CHURCH,LUTHERAN,544,BRIDGEPORT RD,541620.3675,4813893.5456,2016-05-10,2006-06-28,WWW.YELLOWPAGES.CA 2006,2005-01-16
103,3264,TRINITY GOSPEL CHURCH,CHURCH,INDEPENDENT FULL GOSPEL,665,KING ST E,542194.1104,4810328.3361,2005-08-03,2006-06-28,WWW.YELLOWPAGES.CA 2006,2006-01-12
104,57,WESTHEIGHTS BRETHREN IN CHRIST,CHURCH,BRETHERN IN CHRIST,82,WESTHEIGHTS DR,538096.5434,4808391.5533,2016-05-10,2006-06-28,WWW.YELLOWPAGES.CA 2006,2006-01-12
105,173,SACRED HEART PARISH,CHURCH,ROMAN CATHOLIC,66,SHANLEY ST,540237.8084,4811655.8676,2016-05-10,2006-06-28,WWW.YELLOWPAGES.CA 2006,2006-01-16
106,4778,IGLESIA BAUTISTA NUEVA JERUSALEN CHURCH,CHURCH,BAPTIST,1850,GLASGOW ST,535713.5836,4807875.2889,2007-08-24,2007-08-24,WWW.YELLOWPAGES.CA 2006,2007-08-24
107,89,KITCHENER MENNONITE BRETHERN CHURCH,CHURCH,MENNONITE,19,OTTAWA ST N,542927.1913,4810093.2677,2016-05-10,2006-06-28,WWW.YELLOWPAGES.CA 2006,2006-01-16
108,56,HAZELGLEN ALLIANCE CHURCH,CHURCH,CHRISTIAN AND MISSIONARY ALLIANCE,45,HAZELGLEN DR,538408.5312,4809674.5134,2016-05-10,2006-06-28,WWW.YELLOWPAGES.CA 2006,2006-01-12
109,87,BETHEL EVANGELICAL-LUTHERAN CHURCH,CHURCH,LUTHERAN,47,SHELDON AVE N,543146.6822,4809960.43,2016-05-10,2006-06-28,WWW.YELLOWPAGES.CA 2006,2006-01-16
110,5377,WATERLOO REGIONAL DREAM CENTRE,CHURCH,CHRISTIAN,659,KING ST E,542213.5609,4810317.9017,2010-04-08,2010-04-08,WWW.WRDREAMCENTRE.ORG,2010-04-08
111,3482,MEHERET EVANGELICAL CHURCH,CHURCH,EVANGELICAL,825,KING ST W,539676.9879,4811571.0841,2006-01-12,2010-04-08,WWW.YELLOWPAGES.CA 2006,2006-01-12
112,3555,PAOC MISSION LINK,CHURCH,PENTECOSTAL ASSEMBLIES OF CANADA,491,WESTHEIGHTS DR,537451.6118,4807453.9181,2006-01-16,2010-04-08,WWW.YELLOWPAGES.CA 2010,2010-04-08
113,105,ROCKWAY MENNONITE CHURCH,CHURCH,MENNONITE,32,WEBER ST W,541353.6042,4811248.3157,2016-05-10,2010-04-08,WWW.YELLOWPAGES.CA 2010,2010-04-08
114,29,SOLID ROCK CHURCH AND MINISTRIES,CHURCH,NON-DENOMINATIONAL,101,HAZELGLEN DR,538269.0683,4809794.0107,2016-05-10,2010-04-08,WWW.VIRTUALWALK.CA 2010,2010-04-08
115,3470,THE GATHERING PLACE CHRISTIAN MINISTRY CENTRE,CHURCH,CHRISTIAN,164,EIGHTH AVE,544466.1518,4808601.2309,2006-01-12,2010-04-08,WWW.VIRTUALWALK.CA 2010,2010-04-08
116,5381,BUDDHIST PRAJNA TEMPLE,CHURCH,BUDDHIST,265,KING ST E,541689.5713,4810670.505,2010-04-15,2010-04-15,HTTP://NEWS.THERECORD.COM/SECTIONS/FAITH/BUDDHIST,2010-04-15
117,5382,CHUA VIEN QUANG,CHURCH,BUDDHIST,23,CAMPBELL AVE,542320.7893,4813294.1284,2010-04-15,2010-04-15,HTTP://NEWS.THERECORD.COM/SECTIONS/FAITH/BUDDHIST,2010-04-15
118,5384,PHOMMAVIHARAM LAO BUDDHIST TEMPLE,CHURCH,BUDDHIST,12,HOFFMAN ST,542262.5193,4808900.9646,2010-04-15,2010-04-15,HTTP://NEWS.THERECORD.COM/SECTIONS/FAITH/BUDDHIST,2010-04-15
119,5385,FIRST UNITARIAN CONGREGATION OF WATERLOO,CHURCH,UNITARIAN,299,SYDNEY ST S,542452.4998,4809199.2281,2010-04-15,2010-04-15,HTTP://NEWS.THERECORD.COM/SECTIONS/FAITH/OTHER,2010-04-15
120,5386,YOG FELLOWSHIP TEMPLE,CHURCH,KRIYA YOGA MEDITATION,380,PLAINS RD,541558.2392,4802464.6422,2010-04-15,2010-04-19,HTTP://NEWS.THERECORD.COM/SECTIONS/FAITH/OTHER,2010-04-15
121,5373,APOSTOLIC CHRISTIAN CHURCH (NAZARENE),CHURCH,APOSTOLIC,1880,STRASBURG RD,543181.4067,4804256.9071,2010-04-07,2010-04-07,WWW.VIRTUALWALK.CA 2010,2010-04-01
122,5374,KITCHENER GOSPEL HALL,CHURCH,CHRISTIAN,218,BLEAMS RD,543953.8591,4806657.0259,2010-04-07,2010-04-07,WWW.KITCHENERGOSPELHALL.COM,2010-04-01
123,5375,THE JOURNEY - A CHRISTIAN CHURCH,CHURCH,CHRISTIAN,162,VICTORIA ST S,540248.1617,4810776.5967,2010-04-07,2010-04-07,WWW.YELLOWPAGES.CA 2010,2010-04-01
124,3558,CHURCH OF JESUS CHRIST OF LATTER DAY SAINTS,CHURCH,CHURCH OF JESUS CHRIST OF LATTER DAY SAINTS,1250,STRASBURG RD,542475.54,4806046.6519,2006-01-16,2010-04-07,WWW.YELLOWPAGES.CA 2010,2010-01-14
125,5379,ISIJ OF KITCHENER,MOSQUE,MUSLUM,65,FIFTH AVE,544346.4856,4809003.2607,2010-04-14,2010-04-14,WEB,2010-04-14
